Date;Valor;Ativo
02/01/2017;4,88;KLBN3SA
03/01/2017;4,94;KLBN3SA
04/01/2017;4,78;KLBN3SA
05/01/2017;4,69;KLBN3SA
06/01/2017;4,51;KLBN3SA
09/01/2017;4,42;KLBN3SA
10/01/2017;4,24;KLBN3SA
11/01/2017;4,28;KLBN3SA
12/01/2017;4,41;KLBN3SA
13/01/2017;4,27;KLBN3SA
16/01/2017;4,28;KLBN3SA
17/01/2017;4,29;KLBN3SA
18/01/2017;4,33;KLBN3SA
19/01/2017;4,47;KLBN3SA
20/01/2017;4,35;KLBN3SA
23/01/2017;4,37;KLBN3SA
24/01/2017;4,28;KLBN3SA
26/01/2017;4,37;KLBN3SA
27/01/2017;4,4;KLBN3SA
30/01/2017;4,29;KLBN3SA
31/01/2017;4,13;KLBN3SA
01/02/2017;3,76;KLBN3SA
02/02/2017;3,95;KLBN3SA
03/02/2017;3,95;KLBN3SA
06/02/2017;3,85;KLBN3SA
07/02/2017;3,79;KLBN3SA
08/02/2017;3,83;KLBN3SA
09/02/2017;3,79;KLBN3SA
10/02/2017;3,79;KLBN3SA
13/02/2017;3,73;KLBN3SA
14/02/2017;3,96;KLBN3SA
15/02/2017;4,1;KLBN3SA
16/02/2017;3,98;KLBN3SA
17/02/2017;3,84;KLBN3SA
20/02/2017;3,77;KLBN3SA
21/02/2017;3,73;KLBN3SA
22/02/2017;3,73;KLBN3SA
23/02/2017;3,65;KLBN3SA
24/02/2017;3,76;KLBN3SA
01/03/2017;3,68;KLBN3SA
02/03/2017;3,81;KLBN3SA
03/03/2017;3,81;KLBN3SA
06/03/2017;3,8;KLBN3SA
07/03/2017;3,82;KLBN3SA
08/03/2017;3,9;KLBN3SA
09/03/2017;4,09;KLBN3SA
10/03/2017;4,1;KLBN3SA
13/03/2017;4,23;KLBN3SA
14/03/2017;3,94;KLBN3SA
15/03/2017;3,81;KLBN3SA
16/03/2017;3,75;KLBN3SA
17/03/2017;3,69;KLBN3SA
20/03/2017;3,83;KLBN3SA
21/03/2017;3,66;KLBN3SA
22/03/2017;3,56;KLBN3SA
23/03/2017;3,55;KLBN3SA
24/03/2017;3,48;KLBN3SA
27/03/2017;3,18;KLBN3SA
28/03/2017;3,39;KLBN3SA
29/03/2017;3,52;KLBN3SA
30/03/2017;3,59;KLBN3SA
31/03/2017;3,69;KLBN3SA
03/04/2017;3,54;KLBN3SA
04/04/2017;3,53;KLBN3SA
05/04/2017;3,52;KLBN3SA
06/04/2017;3,51;KLBN3SA
07/04/2017;3,51;KLBN3SA
10/04/2017;3,48;KLBN3SA
11/04/2017;3,56;KLBN3SA
12/04/2017;3,64;KLBN3SA
13/04/2017;3,41;KLBN3SA
17/04/2017;3,38;KLBN3SA
18/04/2017;3,51;KLBN3SA
19/04/2017;3,55;KLBN3SA
20/04/2017;3,64;KLBN3SA
24/04/2017;3,65;KLBN3SA
25/04/2017;3,61;KLBN3SA
26/04/2017;3,72;KLBN3SA
27/04/2017;3,77;KLBN3SA
28/04/2017;3,66;KLBN3SA
02/05/2017;3,8;KLBN3SA
03/05/2017;3,8;KLBN3SA
04/05/2017;3,81;KLBN3SA
05/05/2017;3,87;KLBN3SA
08/05/2017;3,83;KLBN3SA
09/05/2017;3,83;KLBN3SA
10/05/2017;3,77;KLBN3SA
11/05/2017;3,77;KLBN3SA
12/05/2017;3,64;KLBN3SA
15/05/2017;3,75;KLBN3SA
16/05/2017;3,75;KLBN3SA
17/05/2017;3,8;KLBN3SA
18/05/2017;4,12;KLBN3SA
19/05/2017;4,08;KLBN3SA
22/05/2017;4,12;KLBN3SA
23/05/2017;4,29;KLBN3SA
24/05/2017;4,08;KLBN3SA
25/05/2017;4,3;KLBN3SA
26/05/2017;4,12;KLBN3SA
29/05/2017;4,12;KLBN3SA
30/05/2017;4,5;KLBN3SA
31/05/2017;4,52;KLBN3SA
01/06/2017;4,42;KLBN3SA
02/06/2017;4,53;KLBN3SA
05/06/2017;4,58;KLBN3SA
06/06/2017;4,53;KLBN3SA
07/06/2017;4,39;KLBN3SA
08/06/2017;4,52;KLBN3SA
09/06/2017;4,14;KLBN3SA
12/06/2017;4,37;KLBN3SA
13/06/2017;4,46;KLBN3SA
14/06/2017;4,39;KLBN3SA
15/06/2017;4,39;KLBN3SA
16/06/2017;4,6;KLBN3SA
19/06/2017;4,58;KLBN3SA
20/06/2017;4,46;KLBN3SA
21/06/2017;4,33;KLBN3SA
22/06/2017;4,4;KLBN3SA
23/06/2017;4,08;KLBN3SA
26/06/2017;4,26;KLBN3SA
27/06/2017;4,25;KLBN3SA
28/06/2017;4,37;KLBN3SA
29/06/2017;4,29;KLBN3SA
30/06/2017;4,13;KLBN3SA
03/07/2017;4,28;KLBN3SA
04/07/2017;4,36;KLBN3SA
05/07/2017;4,3;KLBN3SA
06/07/2017;4,12;KLBN3SA
07/07/2017;3,95;KLBN3SA
10/07/2017;3,92;KLBN3SA
11/07/2017;4,15;KLBN3SA
12/07/2017;4,04;KLBN3SA
13/07/2017;4,02;KLBN3SA
14/07/2017;4,06;KLBN3SA
17/07/2017;4,25;KLBN3SA
18/07/2017;4,22;KLBN3SA
19/07/2017;4,16;KLBN3SA
20/07/2017;4,23;KLBN3SA
21/07/2017;4,15;KLBN3SA
24/07/2017;4,17;KLBN3SA
25/07/2017;4,02;KLBN3SA
26/07/2017;4;KLBN3SA
27/07/2017;4,04;KLBN3SA
28/07/2017;3,97;KLBN3SA
31/07/2017;3,92;KLBN3SA
01/08/2017;3,97;KLBN3SA
02/08/2017;4,1;KLBN3SA
03/08/2017;4,02;KLBN3SA
04/08/2017;4,18;KLBN3SA
07/08/2017;4,1;KLBN3SA
08/08/2017;3,92;KLBN3SA
09/08/2017;3,86;KLBN3SA
10/08/2017;3,85;KLBN3SA
