Date;KLBN3SA;SUZB3SA;^BVSP
2017-01-02 00:00:00-02:00;4,88;18,12;59589,0
2017-01-03 00:00:00-02:00;4,94;18,12;61814,0
2017-01-04 00:00:00-02:00;4,78;18,12;61589,0
2017-01-05 00:00:00-02:00;4,69;18,12;62071,0
2017-01-06 00:00:00-02:00;4,51;18,12;61665,0
2017-01-09 00:00:00-02:00;4,42;18,12;61700,0
2017-01-10 00:00:00-02:00;4,24;18,12;62132,0
2017-01-11 00:00:00-02:00;4,28;18,12;62446,0
2017-01-12 00:00:00-02:00;4,41;18,12;63954,0
2017-01-13 00:00:00-02:00;4,27;18,12;63652,0
2017-01-16 00:00:00-02:00;4,28;18,12;63831,0
2017-01-17 00:00:00-02:00;4,29;18,12;64354,0
2017-01-18 00:00:00-02:00;4,33;18,12;64150,0
2017-01-19 00:00:00-02:00;4,47;18,12;63951,0
2017-01-20 00:00:00-02:00;4,35;18,12;64521,0
2017-01-23 00:00:00-02:00;4,37;18,12;65749,0
2017-01-24 00:00:00-02:00;4,28;18,12;65840,0
2017-01-26 00:00:00-02:00;4,37;18,12;66191,0
2017-01-27 00:00:00-02:00;4,4;18,12;66034,0
2017-01-30 00:00:00-02:00;4,29;18,12;64302,0
2017-01-31 00:00:00-02:00;4,13;18,12;64671,0
2017-02-01 00:00:00-02:00;3,76;18,12;64836,0
2017-02-02 00:00:00-02:00;3,95;18,12;64578,0
2017-02-03 00:00:00-02:00;3,95;18,12;64954,0
2017-02-06 00:00:00-02:00;3,85;18,12;63993,0
2017-02-07 00:00:00-02:00;3,79;18,12;64199,0
2017-02-08 00:00:00-02:00;3,83;18,12;64835,0
2017-02-09 00:00:00-02:00;3,79;18,12;64965,0
2017-02-10 00:00:00-02:00;3,79;18,12;66125,0
2017-02-13 00:00:00-02:00;3,73;18,12;66968,0
2017-02-14 00:00:00-02:00;3,96;18,12;66713,0
2017-02-15 00:00:00-02:00;4,1;18,12;67976,0
2017-02-16 00:00:00-02:00;3,98;18,12;67814,0
2017-02-17 00:00:00-02:00;3,84;18,12;67748,0
2017-02-20 00:00:00-03:00;3,77;18,12;68533,0
2017-02-21 00:00:00-03:00;3,73;18,12;69052,0
2017-02-22 00:00:00-03:00;3,73;18,12;68590,0
2017-02-23 00:00:00-03:00;3,65;18,12;67461,0
2017-02-24 00:00:00-03:00;3,76;18,12;66662,0
2017-03-01 00:00:00-03:00;3,68;18,12;66989,0
2017-03-02 00:00:00-03:00;3,81;18,12;65855,0
2017-03-03 00:00:00-03:00;3,81;18,12;66786,0
2017-03-06 00:00:00-03:00;3,8;18,12;66341,0
2017-03-07 00:00:00-03:00;3,82;18,12;65742,0
2017-03-08 00:00:00-03:00;3,9;18,12;64718,0
2017-03-09 00:00:00-03:00;4,09;18,12;64585,0
2017-03-10 00:00:00-03:00;4,1;18,12;64675,0
2017-03-13 00:00:00-03:00;4,23;18,12;65534,0
2017-03-14 00:00:00-03:00;3,94;18,12;64699,0
2017-03-15 00:00:00-03:00;3,81;18,12;66235,0
2017-03-16 00:00:00-03:00;3,75;18,12;65783,0
2017-03-17 00:00:00-03:00;3,69;18,12;64210,0
2017-03-20 00:00:00-03:00;3,83;18,12;64884,0
2017-03-21 00:00:00-03:00;3,66;18,12;62980,0
2017-03-22 00:00:00-03:00;3,56;18,12;63521,0
2017-03-23 00:00:00-03:00;3,55;18,12;63531,0
2017-03-24 00:00:00-03:00;3,48;18,12;63854,0
2017-03-27 00:00:00-03:00;3,18;18,12;64308,0
2017-03-28 00:00:00-03:00;3,39;18,12;64640,0
2017-03-29 00:00:00-03:00;3,52;18,12;65528,0
2017-03-30 00:00:00-03:00;3,59;18,12;65266,0
2017-03-31 00:00:00-03:00;3,69;18,12;64984,0
2017-04-03 00:00:00-03:00;3,54;18,12;65211,0
2017-04-04 00:00:00-03:00;3,53;18,12;65769,0
2017-04-05 00:00:00-03:00;3,52;18,12;64775,0
2017-04-06 00:00:00-03:00;3,51;18,12;64223,0
2017-04-07 00:00:00-03:00;3,51;18,12;64593,0
2017-04-10 00:00:00-03:00;3,48;18,12;64650,0
2017-04-11 00:00:00-03:00;3,56;18,12;64360,0
2017-04-12 00:00:00-03:00;3,64;18,12;63892,0
2017-04-13 00:00:00-03:00;3,41;18,12;62826,0
2017-04-17 00:00:00-03:00;3,38;18,12;64335,0
2017-04-18 00:00:00-03:00;3,51;18,12;64159,0
2017-04-19 00:00:00-03:00;3,55;18,12;63407,0
2017-04-20 00:00:00-03:00;3,64;18,12;63761,0
2017-04-24 00:00:00-03:00;3,65;18,12;64389,0
2017-04-25 00:00:00-03:00;3,61;18,12;65148,0
2017-04-26 00:00:00-03:00;3,72;18,12;64862,0
2017-04-27 00:00:00-03:00;3,77;18,12;64677,0
2017-04-28 00:00:00-03:00;3,66;18,12;65403,0
2017-05-02 00:00:00-03:00;3,8;18,12;66722,0
2017-05-03 00:00:00-03:00;3,8;18,12;66094,0
2017-05-04 00:00:00-03:00;3,81;18,12;64863,0
2017-05-05 00:00:00-03:00;3,87;18,12;65710,0
2017-05-08 00:00:00-03:00;3,83;18,12;65526,0
2017-05-09 00:00:00-03:00;3,83;18,12;66278,0
2017-05-10 00:00:00-03:00;3,77;18,12;67350,0
2017-05-11 00:00:00-03:00;3,77;18,12;67538,0
2017-05-12 00:00:00-03:00;3,64;18,12;68222,0
2017-05-15 00:00:00-03:00;3,75;18,12;68474,0
2017-05-16 00:00:00-03:00;3,75;18,12;68684,0
2017-05-17 00:00:00-03:00;3,8;18,12;67540,0
2017-05-18 00:00:00-03:00;4,12;18,12;61597,0
2017-05-19 00:00:00-03:00;4,08;18,12;62639,0
2017-05-22 00:00:00-03:00;4,12;18,12;61673,0
2017-05-23 00:00:00-03:00;4,29;18,12;62662,0
2017-05-24 00:00:00-03:00;4,08;18,12;63257,0
2017-05-25 00:00:00-03:00;4,3;18,12;63227,0
2017-05-26 00:00:00-03:00;4,12;18,12;64085,0
2017-05-29 00:00:00-03:00;4,12;18,12;63761,0
2017-05-30 00:00:00-03:00;4,5;18,12;63962,0
2017-05-31 00:00:00-03:00;4,52;18,12;62711,0
2017-06-01 00:00:00-03:00;4,42;18,12;62289,0
2017-06-02 00:00:00-03:00;4,53;18,12;62511,0
2017-06-05 00:00:00-03:00;4,58;18,12;62450,0
2017-06-06 00:00:00-03:00;4,53;18,12;62955,0
2017-06-07 00:00:00-03:00;4,39;18,12;63171,0
2017-06-08 00:00:00-03:00;4,52;18,12;62756,0
2017-06-09 00:00:00-03:00;4,14;18,12;62211,0
2017-06-12 00:00:00-03:00;4,37;18,12;61700,0
2017-06-13 00:00:00-03:00;4,46;18,12;61829,0
2017-06-14 00:00:00-03:00;4,39;18,12;61923,0
2017-06-15 00:00:00-03:00;4,39;18,12;
2017-06-16 00:00:00-03:00;4,6;18,12;61626,0
2017-06-19 00:00:00-03:00;4,58;18,12;62014,0
2017-06-20 00:00:00-03:00;4,46;18,12;60766,0
2017-06-21 00:00:00-03:00;4,33;18,12;60762,0
2017-06-22 00:00:00-03:00;4,4;18,12;61272,0
2017-06-23 00:00:00-03:00;4,08;18,12;61087,0
2017-06-26 00:00:00-03:00;4,26;18,12;62188,0
2017-06-27 00:00:00-03:00;4,25;18,12;61675,0
2017-06-28 00:00:00-03:00;4,37;18,12;62018,0
2017-06-29 00:00:00-03:00;4,29;18,12;62239,0
2017-06-30 00:00:00-03:00;4,13;18,12;62900,0
2017-07-03 00:00:00-03:00;4,28;18,12;63280,0
2017-07-04 00:00:00-03:00;4,36;18,12;63232,0
2017-07-05 00:00:00-03:00;4,3;18,12;63154,0
2017-07-06 00:00:00-03:00;4,12;18,12;62470,0
2017-07-07 00:00:00-03:00;3,95;18,12;62322,0
2017-07-10 00:00:00-03:00;3,92;18,12;63025,0
2017-07-11 00:00:00-03:00;4,15;18,12;63832,0
2017-07-12 00:00:00-03:00;4,04;18,12;64836,0
2017-07-13 00:00:00-03:00;4,02;18,12;65178,0
2017-07-14 00:00:00-03:00;4,06;18,12;65436,0
2017-07-17 00:00:00-03:00;4,25;18,12;65212,0
2017-07-18 00:00:00-03:00;4,22;18,12;65338,0
2017-07-19 00:00:00-03:00;4,16;18,12;65180,0
2017-07-20 00:00:00-03:00;4,23;18,12;64938,0
2017-07-21 00:00:00-03:00;4,15;18,12;64684,0
2017-07-24 00:00:00-03:00;4,17;18,12;65100,0
