Balanço Patrimonial - Trimestral - KLABIN
1T1995	2T1995	3T1995	4T1995	1T1996	2T1996	3T1996	4T1996	1T1997	2T1997	3T1997	4T1997	1T1998	2T1998	3T1998	4T1998	1T1999	2T1999	3T1999	4T1999	1T2000	2T2000	3T2000	4T2000	1T2001	2T2001	3T2001	4T2001	1T2002	2T2002	3T2002	4T2002	1T2003	2T2003	3T2003	4T2003	1T2004	2T2004	3T2004	4T2004	1T2005	2T2005	3T2005	4T2005	1T2006	2T2006	3T2006	4T2006	1T2007	2T2007	3T2007	4T2007	1T2008	2T2008	3T2008	4T2008	1T2009	2T2009	3T2009	4T2009	1T2010	2T2010	3T2010	4T2010	1T2011	2T2011	3T2011	4T2011	1T2012	2T2012	3T2012	4T2012	1T2013	2T2013	3T2013	4T2013	1T2014	2T2014	3T2014	4T2014	1T2015	2T2015	3T2015	4T2015	1T2016	2T2016	3T2016	4T2016	1T2017	2T2017	3T2017	4T2017	1T2018	2T2018	3T2018	4T2018	1T2019	2T2019	3T2019	4T2019	1T2020	2T2020	3T2020	4T2020	1T2021	2T2021	3T2021	4T2021	1T2022	2T2022	3T2022
  Ativo Total	2.156	0	2.588	2.681	2.656	2.671	2.761	2.698	2.748	2.749	2.813	2.842	2.927	2.826	2.811	2.778	2.942	3.146	3.140	3.189	3.192	3.153	3.927	4.356	4.421	4.520	4.660	4.434	4.492	4.507	4.599	4.745	4.828	5.848	3.789	3.824	4.050	4.130	4.054	4.368	4.626	4.596	4.712	4.695	4.913	5.353	5.356	6.123	6.545	7.205	7.647	8.009	8.082	8.123	8.301	8.242	8.140	7.857	7.892	7.997	11.734	11.811	12.206	12.261	12.220	12.383	12.683	12.741	13.495	14.063	14.397	14.097	14.103	14.323	14.156	14.919	17.808	19.735	20.713	21.173	22.274	23.145	25.176	26.268	26.934	28.111	28.223	29.313	30.017	29.378	30.161	30.549	28.513	28.836	29.362	29.633	30.254	34.298	37.275	34.703	33.839	37.229	35.838	35.270	38.583	38.280	40.836	42.075	40.199	44.289	46.125
  Ativo Circulante	332	0	492	517	462	436	496	551	559	541	600	589	678	656	626	572	639	840	719	790	765	695	1.457	832	821	902	947	738	810	828	935	1.021	1.139	1.761	1.426	1.481	1.727	1.784	1.751	2.032	2.266	2.218	2.241	2.227	2.498	2.859	2.612	3.142	3.026	3.141	3.132	3.062	3.312	3.327	3.416	3.180	3.042	2.915	3.219	3.389	3.784	3.857	4.204	4.127	4.015	4.071	4.477	4.083	4.407	4.912	4.811	4.432	4.465	4.298	4.121	4.826	6.873	7.369	8.280	7.899	7.992	7.802	8.733	8.675	8.616	8.988	8.974	9.960	10.488	10.257	11.277	11.803	9.983	10.290	10.954	10.861	11.532	15.441	16.685	13.673	12.108	14.520	12.256	10.785	13.351	12.967	14.075	13.892	11.426	13.338	12.510
  Caixa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.729	2.638	2.691	3.030	2.562	2.932	3.311	3.150	2.757	2.750	2.656	2.418	2.979	4.870	5.522	6.295	5.743	5.575	5.239	5.909	5.610	5.879	5.810	5.894	6.464	7.258	6.954	7.700	8.271	6.590	6.895	7.324	7.047	7.459	11.458	12.153	9.730	7.214	9.868	7.840	6.556	8.531	8.250	8.953	8.422	6.185	7.396	6.252
  Recebíveis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	770	761	781	821	814	851	959	981	1.021	1.012	1.072	1.145	1.180	1.026	1.130	1.148	1.273	1.240	1.376	1.501	1.318	1.442	1.354	1.625	1.312	1.400	1.792	1.754	1.673	1.706	2.009	2.040	1.984	1.935	2.082	1.859	2.215	2.112	1.992	1.806	2.451	2.498	2.656	2.808	2.376	2.924	2.963
  Estoque	94	0	139	154	145	145	146	148	146	155	151	154	162	163	168	139	142	151	160	170	181	187	188	236	254	245	251	241	252	270	272	291	318	281	242	243	229	228	231	269	296	303	296	256	269	273	268	275	274	284	304	336	367	369	398	437	447	437	443	431	469	474	455	460	475	462	495	506	521	494	481	473	479	490	489	495	507	530	532	563	599	607	663	701	834	912	875	876	915	932	906	933	984	1.041	1.128	1.206	1.352	1.460	1.414	1.332	1.462	1.557	1.379	1.379	1.474	1.612	1.789	2.003	2.095	2.145	2.350
  Outros AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	131	156	170	193	139	254	220	219	214	139	141	205	315	290	321	443	543	715	784	862	583	822	850	993	1.000	969	877	844	736	648	492	567	735	587	1.035	751	1.216	981	1.043	1.043	893	606	676	657	769	871	943
  Ativo Não Circ.	1.824	0	2.095	2.163	2.194	2.235	2.264	2.147	2.189	2.208	2.213	2.253	2.249	2.170	2.185	2.205	2.303	2.306	2.420	2.398	2.426	2.458	2.469	3.524	3.600	3.618	3.712	3.696	3.681	3.678	3.664	3.724	3.689	4.086	2.362	2.343	2.322	2.346	2.302	2.335	2.360	2.377	2.470	2.468	2.415	2.493	2.744	2.981	3.519	4.063	4.514	4.947	4.769	4.796	4.884	5.061	5.098	4.941	4.673	4.608	7.949	7.954	8.002	8.134	8.205	8.311	8.205	8.658	9.087	9.150	9.585	9.665	9.637	10.024	10.035	10.093	10.935	12.365	12.433	13.274	14.282	15.342	16.443	17.592	18.317	19.122	19.249	19.353	19.529	19.121	18.884	18.745	18.530	18.545	18.408	18.771	18.722	18.856	20.589	21.029	21.730	22.708	23.582	24.484	25.232	25.312	26.760	28.183	28.772	30.951	33.614
  Imobilizado	1.557	0	1.802	1.867	1.873	1.891	1.944	1.859	1.899	1.895	1.904	1.934	1.935	1.855	1.861	1.870	1.889	1.894	2.026	2.031	2.086	2.108	2.106	2.578	2.590	2.581	2.644	2.927	2.908	2.921	2.909	2.921	2.904	2.182	1.773	1.767	1.761	1.785	1.865	1.899	1.935	1.947	2.030	2.049	2.038	2.126	2.357	2.616	3.102	3.477	3.836	4.195	4.072	4.074	4.085	4.299	4.266	4.221	4.159	4.077	7.382	7.393	7.462	5.004	5.026	5.017	4.993	4.917	4.934	5.118	5.292	5.379	5.414	5.806	5.798	5.909	6.320	7.753	7.449	8.351	9.194	10.096	11.042	12.009	12.659	12.936	12.959	12.995	12.788	12.747	12.611	12.619	12.420	12.297	12.231	12.262	12.440	12.664	13.141	13.735	14.484	15.326	16.383	17.654	17.983	19.131	19.711	20.616	21.287	22.947	24.626
  Intangível	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	7	8	8	8	8	8	8	8	9	10	11	11	11	12	11	12	12	12	24	23	120	85	93	91	89	88	89	87	85	84	82	81	77	73	74	72	75	77	88	145	142	156	145	146
  Outros ANC	199	0	215	217	244	261	237	230	233	253	247	256	252	260	270	282	360	357	327	292	267	276	277	336	370	395	438	769	680	666	665	732	717	692	578	565	551	551	427	425	415	420	429	408	367	364	384	362	407	522	615	685	630	654	751	706	768	655	446	464	496	490	469	3.122	3.170	3.286	3.205	3.733	4.144	4.024	4.285	4.277	4.213	4.209	4.227	4.174	4.603	4.600	4.972	4.911	5.075	5.235	5.388	5.570	5.645	6.162	6.265	6.238	6.656	6.280	6.181	6.036	6.020	6.159	6.089	6.424	6.196	6.110	7.366	7.215	7.171	7.308	7.127	6.754	7.171	6.092	6.904	7.424	7.328	7.858	8.841
  Passivo Total	2.156	0	2.588	2.681	2.656	2.671	2.761	2.698	2.748	2.749	2.813	2.842	2.927	2.826	2.811	2.778	2.942	3.146	3.140	3.189	3.192	3.153	3.927	4.356	4.421	4.520	4.660	4.434	4.492	4.507	4.599	4.745	4.828	5.848	3.789	3.824	4.050	4.130	4.054	4.368	4.626	4.596	4.712	4.695	4.913	5.353	5.356	6.123	6.545	7.205	7.647	8.009	8.082	8.123	8.301	8.242	8.140	7.857	7.892	7.997	11.734	11.811	12.206	12.261	12.220	12.383	12.683	12.741	13.495	14.063	14.397	14.097	14.103	14.323	14.156	14.919	17.808	19.735	20.713	21.173	22.274	23.145	25.176	26.268	26.934	28.111	28.223	29.313	30.017	29.378	30.161	30.549	28.513	28.836	29.362	29.633	30.254	34.298	37.275	34.703	33.839	37.229	35.838	35.270	38.583	38.280	40.836	42.075	40.199	44.289	46.125
  Passivo Circ.	329	0	358	389	376	349	362	344	373	438	425	432	471	395	577	637	885	1.024	884	631	628	607	1.055	1.247	988	989	1.271	1.469	1.494	1.883	2.588	2.031	2.096	2.043	1.052	909	795	650	670	837	842	670	913	1.010	694	631	673	1.072	1.057	1.190	1.270	1.130	732	684	788	843	1.032	1.070	1.129	1.454	1.375	1.497	1.665	1.690	1.673	1.853	1.938	1.932	1.867	1.873	1.891	1.767	1.660	2.026	1.844	1.779	1.866	2.761	2.195	2.518	3.030	3.209	3.174	3.162	3.382	3.547	3.776	4.143	3.821	3.557	3.488	3.747	2.916	3.550	3.722	3.708	2.680	3.187	3.265	3.104	3.083	2.568	3.141	3.613	4.569	4.646	5.415	5.570	4.519	5.452	5.330
  Fornecedores	41	0	44	43	41	41	42	52	71	78	44	44	47	49	51	61	76	91	104	110	116	136	134	157	166	151	153	157	166	183	193	231	246	167	151	107	104	116	146	136	116	102	143	174	125	107	170	212	272	407	407	577	265	234	208	215	171	171	179	189	217	250	267	269	272	243	234	335	204	265	339	318	289	615	391	345	314	1.227	341	438	627	663	717	702	653	701	627	634	568	615	578	713	617	807	828	903	742	915	978	1.024	1.213	1.295	1.548	2.003	2.062	2.198	2.461	2.504	2.363	2.759	2.675
  Emprést. CP	201	0	196	221	256	242	250	229	230	300	317	327	360	287	460	514	720	785	673	412	380	325	733	954	685	726	950	1.128	1.174	1.524	2.204	1.618	1.655	1.546	630	421	350	384	350	404	474	396	578	612	339	377	365	606	610	542	555	243	190	205	298	479	714	743	784	694	640	690	694	842	847	865	929	910	1.013	1.187	1.226	1.120	1.083	1.126	1.128	1.124	1.180	1.200	1.512	1.754	1.999	2.199	2.019	2.046	2.361	2.418	2.634	2.838	2.734	2.339	2.340	2.469	1.785	2.198	2.273	1.975	1.306	1.665	1.603	1.274	1.345	670	759	721	1.727	1.550	1.798	1.859	1.126	1.326	1.071
  Outros PC	17	0	26	23	21	26	31	26	24	28	31	0	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	578	554	743	774	687	649	420	325	328	288	284	324	309	371	334	340	325	403	346	438	413	368	427	514	670	519	602	569	563	512	545	620	829	630	606	683	805	525	602	833	889	779	897	1.155	1.206	1.030	1.366	1.583
  Passivo Não Circ.	496	0	627	659	650	684	756	807	833	793	876	899	955	938	772	731	817	884	1.022	1.302	1.273	1.288	1.590	1.798	1.925	2.026	1.995	1.606	1.632	1.491	1.264	1.566	1.521	1.530	779	1.097	1.315	1.408	1.169	1.363	1.469	1.514	1.416	1.343	1.710	2.111	2.113	2.477	2.784	3.115	3.467	4.009	4.397	4.309	4.752	5.123	4.805	4.216	4.052	4.099	5.589	5.515	5.576	5.415	5.232	5.201	5.714	5.850	6.220	7.163	7.146	6.909	6.824	6.885	6.845	7.747	8.776	9.539	11.227	11.596	13.010	13.424	17.010	17.753	17.269	17.141	17.118	18.069	18.514	18.692	19.175	19.568	18.396	19.193	19.620	19.392	21.239	24.907	27.796	25.097	27.334	31.287	29.522	27.272	30.229	27.317	28.963	29.418	25.820	29.150	29.812
  Emprést. LP	450	0	561	597	593	625	692	738	766	725	816	846	902	880	716	670	747	808	941	1.222	1.189	1.197	1.493	1.671	1.791	1.875	1.824	1.397	1.405	1.269	1.010	1.322	1.265	1.263	522	812	1.042	1.127	1.011	1.217	1.318	1.356	1.256	1.174	1.589	1.993	1.975	2.386	2.683	2.989	3.331	3.862	4.255	4.158	4.601	4.971	4.657	4.059	3.905	3.925	4.223	4.142	4.142	4.014	3.793	3.717	4.413	4.386	4.592	5.137	5.014	4.914	4.802	4.967	4.884	5.838	6.401	7.146	8.809	9.230	11.015	11.184	15.505	15.975	15.527	14.773	14.732	15.630	15.903	16.362	16.507	17.079	15.912	17.293	17.867	17.470	18.906	22.936	25.645	22.810	26.251	30.003	28.134	25.617	28.547	25.470	27.104	27.479	22.948	26.594	26.615
  Outros PNC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.400	1.439	1.483	1.300	1.463	1.627	2.025	2.131	1.995	2.021	1.917	1.960	1.908	2.375	2.392	2.417	2.366	1.995	2.240	1.505	1.777	1.742	2.367	2.385	2.439	2.610	2.329	2.667	2.488	2.484	1.900	1.752	1.921	2.332	1.970	2.151	2.286	1.083	1.284	1.388	1.654	1.681	1.847	1.858	1.939	2.871	2.555	3.196
  Patrimônio Líq.	1.330	0	1.602	1.632	1.629	1.637	1.642	1.545	1.541	1.518	1.510	1.510	1.500	1.492	1.461	1.409	1.239	1.237	1.233	1.254	1.258	1.228	1.254	1.287	1.486	1.485	1.377	1.345	1.354	1.124	741	1.145	1.210	2.275	1.957	1.817	1.939	2.071	2.214	2.166	2.314	2.412	2.382	2.341	2.508	2.609	2.569	2.573	2.703	2.899	2.909	2.869	2.952	3.129	2.761	2.274	2.302	2.570	2.710	2.443	4.769	4.799	4.964	5.154	5.313	5.329	5.030	4.958	5.407	5.025	5.359	5.420	5.617	5.411	5.466	5.392	7.165	7.434	7.290	7.058	6.232	6.510	4.991	5.352	6.281	7.421	7.329	7.100	7.682	7.128	7.497	7.234	7.201	6.092	6.019	6.533	6.334	6.203	6.213	6.501	3.420	3.373	3.175	4.384	3.784	6.316	6.457	7.086	9.859	9.687	10.982
