	2014	2015	2016	2017	2018	2019	2020	2021	2022	Hoje
  LPA	0,77	-1,32	2,62	0,56	0,17	0,66	-2,13	3,03	4,41	4,41
  P/L	18,88	-17,71	6,76	31,55	91,88	27,82	-12,44	8,46	4,53	4,44
  VPA	7,46	5,65	7,50	7,56	6,04	6,01	3,90	6,31	9,77	9,77
  P/VP	1,96	4,15	2,36	2,33	2,63	3,06	6,78	4,07	2,04	2,00
  P/EBIT	9,64	17,66	14,24	12,73	5,98	8,19	9,25	5,23	3,03	2,97
  P/EBITDA	6,18	10,58	9,28	7,95	4,46	5,66	7,32	4,43	2,58	2,53
  P/Ativos	0,77	1,00	0,68	0,65	0,60	0,60	0,84	0,69	0,49	0,48
  Ebitda	2.651	2.490	2.146	2.486	4.002	3.654	4.062	6.511	8.692	8.692
  Marg. Ebitda	54%	44%	30%	30%	40%	36%	34%	40%	45%	45%
  PSR	3,35	4,63	2,81	2,36	1,78	2,01	2,49	1,75	1,15	1,13
  ROE	10%	-23%	35%	7%	3%	11%	-55%	48%	45%	45%
  ROA	3%	-5%	8%	2%	1%	2%	-7%	8%	11%	11%
  ROIC	11%	7%	6%	7%	14%	11%	12%	18%	20%	20%
  EV/EBIT	15,73	22,73	23,97	21,11	11,36	14,20	12,84	7,70	5,79	5,86
  EV/EBITDA	10,09	13,62	15,61	13,19	8,47	9,81	10,16	6,52	4,94	5,00
  Div. Yield	3,29%	2,22%	3,42%	2,81%	7,79%	3,91%	0,08%	1,50%	7,36%	7,51%
  Div. Payout	45,42%	-30,09%	18,01%	94,94%	449,20%	133,66%	-9,33%	11,80%	29,61%	29,61%
  Beta	0,44	0,34	0,34	0,44	0,21	0,58	0,51	0,42	0,38	0,37
  Valorização	28%	68%	-17%	6%	-7%	18%	41%	0%	-16%	-2%
  Negócios/dia	4.666	6.827	8.832	8.263	10.664	11.533	22.854	24.163	20.293	16.750
  Volume diário	30	63	52	38	64	66	140	189	136	123
