Resultado - Klabin
1T1995	2T1995	3T1995	4T1995	1T1996	2T1996	3T1996	4T1996	1T1997	2T1997	3T1997	4T1997	1T1998	2T1998	3T1998	4T1998	1T1999	2T1999	3T1999	4T1999	1T2000	2T2000	3T2000	4T2000	1T2001	2T2001	3T2001	4T2001	1T2002	2T2002	3T2002	4T2002	1T2003	2T2003	3T2003	4T2003	1T2004	2T2004	3T2004	4T2004	1T2005	2T2005	3T2005	4T2005	1T2006	2T2006	3T2006	4T2006	1T2007	2T2007	3T2007	4T2007	1T2008	2T2008	3T2008	4T2008	1T2009	2T2009	3T2009	4T2009	1T2010	2T2010	3T2010	4T2010	1T2011	2T2011	3T2011	4T2011	1T2012	2T2012	3T2012	4T2012	1T2013	2T2013	3T2013	4T2013	1T2014	2T2014	3T2014	4T2014	1T2015	2T2015	3T2015	4T2015	1T2016	2T2016	3T2016	4T2016	1T2017	2T2017	3T2017	4T2017	1T2018	2T2018	3T2018	4T2018	1T2019	2T2019	3T2019	4T2019	1T2020	2T2020	3T2020	4T2020	1T2021	2T2021	3T2021	4T2021	1T2022	2T2022	3T2022
  Receita líquida	256	0	0	304	280	271	285	284	281	288	294	287	275	268	270	291	313	336	387	443	407	433	471	571	535	633	588	0	558	585	772	898	868	811	690	599	630	659	737	702	673	720	650	662	645	667	705	695	690	714	722	668	740	780	770	805	721	682	750	805	844	905	982	930	957	947	990	994	969	1.030	1.085	1.078	1.066	1.093	1.202	1.236	1.203	1.151	1.282	1.257	1.308	1.337	1.445	1.595	1.463	1.698	1.964	1.963	1.866	1.984	2.224	2.297	2.189	2.235	2.806	2.785	2.490	2.620	2.809	2.351	2.591	2.987	3.177	3.192	3.466	4.075	4.358	4.581	4.422	5.038	5.488
  Custos	-159	0	0	-201	-182	-190	-209	-203	-203	-207	-211	-207	-193	-193	-196	-231	-192	-205	-238	-248	-225	-248	-255	-336	-319	-357	-332	0	-322	-350	-426	-448	-434	-443	-389	-356	-341	-361	-383	-387	-364	-418	-420	-477	-414	-441	-448	-446	-435	-454	-481	-471	-511	-582	-587	-604	-520	-518	-540	-605	-577	-627	-642	-443	-603	-627	-710	-615	-193	-750	-381	-611	-658	-736	-686	-788	-280	-812	-656	-900	-874	-903	-830	-837	-940	-983	-1.397	-1.372	-1.044	-1.636	-1.507	-1.449	-1.438	-1.382	-1.550	-1.342	-1.632	-1.870	-1.829	-1.519	-1.597	-1.844	-1.926	-1.858	-2.347	-2.266	-2.199	-2.125	-2.345	-2.755	-2.208
  Resultado bruto	97	0	0	103	98	81	76	81	78	81	83	80	82	75	74	60	121	131	149	195	182	185	216	235	216	276	256	0	236	235	346	450	434	368	301	243	289	298	354	315	309	302	230	185	231	226	257	249	255	260	241	197	229	198	183	201	201	164	210	200	267	278	340	487	354	320	280	379	776	280	704	467	408	357	516	448	923	339	626	357	434	434	615	758	523	715	567	591	822	348	717	848	751	853	1.256	1.443	858	750	980	832	994	1.143	1.251	1.334	1.119	1.809	2.159	2.456	2.077	2.283	3.280
  Margem bruta	38%	0%	0%	34%	35%	30%	27%	29%	28%	28%	28%	28%	30%	28%	27%	21%	39%	39%	39%	44%	45%	43%	46%	41%	40%	44%	44%	0%	42%	40%	45%	50%	50%	45%	44%	41%	46%	45%	48%	45%	46%	42%	35%	28%	36%	34%	36%	36%	37%	36%	33%	29%	31%	25%	24%	25%	28%	24%	28%	25%	32%	31%	35%	52%	37%	34%	28%	38%	80%	27%	65%	43%	38%	33%	43%	36%	77%	29%	49%	28%	33%	32%	43%	48%	36%	42%	29%	30%	44%	18%	32%	37%	34%	38%	45%	52%	34%	29%	35%	35%	38%	38%	39%	42%	32%	44%	50%	54%	47%	45%	60%
  Despesas oper.	-41	0	0	-95	-48	-53	-40	-58	-56	-60	-63	-68	-59	0	-60	-84	-59	-60	-68	-99	-74	-78	-89	-105	-92	-107	-117	0	-134	-143	-166	-181	-156	827	-323	-116	-114	-127	-129	-134	-123	-125	-135	-134	-108	-120	-140	-124	-105	-121	-101	-114	-116	-122	-132	-113	-130	-122	-122	-90	-118	-123	-136	-171	-150	-142	-133	-108	-140	-144	-153	-144	-142	-147	-149	-169	-156	-137	-129	-121	-167	-192	-183	-206	-203	-220	-293	-280	-280	-278	-305	-318	-310	-303	-357	-347	-324	-310	215	-474	-361	-395	-465	-283	-438	-511	-461	-624	-575	-679	-802
  Res. operacional	56	0	0	8	50	28	36	23	22	21	20	12	23	75	14	-24	62	71	81	96	108	107	127	130	124	169	139	0	102	92	180	269	278	1.195	-22	127	175	171	225	181	186	177	95	51	123	106	117	125	150	139	140	83	113	76	51	88	71	42	88	110	149	155	204	316	204	178	147	271	636	136	551	323	266	210	367	279	767	202	497	236	267	242	432	552	320	495	274	311	542	70	412	530	441	550	899	1.096	534	440	1.195	358	633	748	786	1.051	681	1.298	1.698	1.832	1.502	1.604	2.478
  Margem Oper.	22%	0%	0%	3%	18%	10%	13%	8%	8%	7%	7%	4%	8%	28%	5%	-8%	20%	21%	21%	22%	27%	25%	27%	23%	23%	27%	24%	0%	18%	16%	23%	30%	32%	147%	-3%	21%	28%	26%	31%	26%	28%	25%	15%	8%	19%	16%	17%	18%	22%	19%	19%	12%	15%	10%	7%	11%	10%	6%	12%	14%	18%	17%	21%	34%	21%	19%	15%	27%	66%	13%	51%	30%	25%	19%	31%	23%	64%	18%	39%	19%	20%	18%	30%	35%	22%	29%	14%	16%	29%	4%	19%	23%	20%	25%	32%	39%	21%	17%	43%	15%	24%	25%	25%	33%	20%	32%	39%	40%	34%	32%	45%
  Res. Financeiro	-18	0	0	-13	-21	-20	-25	-20	-24	-24	-28	-11	-33	-42	-42	-39	-284	-53	-125	6	-24	-76	-75	-175	-233	-150	-272	0	-91	-322	-561	8	-175	-148	-93	-30	-21	-41	-47	-45	-29	-63	-34	-25	94	5	10	21	69	139	101	34	-10	173	-447	-621	-38	383	173	-75	-80	-45	143	32	33	69	-517	-86	54	-468	-54	-78	16	-418	-89	-248	165	137	-498	-450	-1.384	201	-2.489	233	1.012	1.296	-256	-235	318	-669	330	-692	-262	-2.011	-756	-21	-450	-339	-1.246	374	-5.488	-1.397	-1.071	928	-203	-207	-290	-389	-77	-302	319
  IR e CSSL	-14	0	0	0	-3	-3	-6	-2	-1	-1	0	6	0	4	3	15	52	-10	5	-34	-31	-19	-23	15	29	-2	23	0	-1	1	-3	125	-37	-14	-38	-34	-32	-13	-35	-28	-19	-14	10	5	-49	-10	-20	-32	-49	-67	-59	-41	-21	-72	146	187	-2	-118	-77	-218	-23	-37	-115	-114	-87	-76	134	-83	-230	148	-165	-97	-81	79	-80	-7	-324	-95	8	88	390	-147	716	-264	-258	-522	14	33	-257	222	-351	79	-52	507	-38	-160	-279	-27	259	-101	1.713	267	94	-651	-56	-372	-191	-390	-549	-330	-743
  Op. descontin.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
