Balanço Patrimonial - Trimestral
			1T2002	2T2002	3T2002	4T2002	1T2003	2T2003	3T2003	4T2003	1T2004	2T2004	3T2004	4T2004	1T2005	2T2005	3T2005	4T2005	1T2006	2T2006	3T2006	4T2006	1T2007	2T2007	3T2007	4T2007	1T2008	2T2008	3T2008	4T2008	1T2009	2T2009	3T2009	4T2009	1T2010	2T2010	3T2010	4T2010	1T2011	2T2011	3T2011	4T2011	1T2012	2T2012	3T2012	4T2012	1T2013	2T2013	3T2013	4T2013	1T2014	2T2014	3T2014	4T2014	1T2015	2T2015	3T2015	4T2015	1T2016	2T2016	3T2016	4T2016	1T2017	2T2017	3T2017	4T2017	1T2018	2T2018	3T2018	4T2018	1T2019	2T2019	3T2019	4T2019	1T2020	2T2020	3T2020	4T2020	1T2021	2T2021	3T2021	4T2021	1T2022	2T2022	3T2022
  Ativo Total		4.736	5.233	6.411	6.222	5.678	5.671	5.568	5.998	5.949	6.172	6.227	5.991	6.705	6.983	6.965	7.339	7.444	8.792	9.439	10.160	10.400	10.788	11.143	11.456	11.616	11.410	12.038	12.958	12.874	12.570	12.603	12.758	17.658	17.519	18.799	18.913	18.902	20.349	20.978	21.657	22.157	23.582	24.003	25.353	25.716	26.446	26.357	27.149	27.041	26.814	27.671	28.119	28.614	27.960	28.230	28.259	28.763	28.377	29.809	29.399	29.431	29.064	29.443	28.522	30.076	35.544	41.565	53.932	99.307	99.011	99.347	97.908	105.442	108.493	105.440	101.800	104.526	103.307	113.383	118.975	112.935	122.642	128.614
  Ativo Circulante	1.383	1.753	2.286	2.765	2.222	2.141	1.947	2.270	2.147	2.502	2.487	2.207	2.061	2.291	2.232	2.417	2.250	2.539	2.786	2.980	2.786	2.884	2.965	3.113	3.431	3.270	3.868	4.406	4.406	4.226	4.085	4.148	4.441	4.246	5.366	5.423	3.870	5.047	5.124	5.372	5.645	6.396	6.060	6.686	6.649	6.816	6.245	6.471	6.249	6.118	6.288	6.609	7.115	6.302	6.489	6.589	7.097	6.735	8.204	8.029	8.106	7.665	7.995	6.796	7.883	12.778	18.323	30.798	20.320	20.404	18.821	18.884	19.657	21.903	18.523	17.957	18.659	21.799	29.686	34.102	31.747	34.575	36.218
  Caixa			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.735	1.830	3.002	2.958	3.273	3.572	2.757	3.791	4.337	4.330	4.458	3.605	3.689	3.397	3.114	3.322	3.686	3.867	2.895	2.379	2.448	2.844	2.610	4.185	3.695	4.068	3.630	3.849	2.708	3.392	8.027	12.970	25.486	6.783	7.797	8.612	9.399	9.557	12.504	9.574	9.047	9.362	11.033	18.690	21.099	18.844	20.049	17.866
  Recebíveis		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792	854	852	900	983	822	904	1.008	1.102	864	941	1.218	1.474	1.178	1.168	1.161	1.273	1.358	1.370	1.962	1.885	1.761	1.566	1.495	1.622	1.628	1.891	1.862	2.303	2.389	2.325	2.761	2.537	3.507	2.895	2.058	3.035	4.447	3.762	3.036	2.915	3.692	3.979	4.577	6.531	4.515	5.865	8.664
  Estoque		237	245	283	289	343	349	379	383	380	372	394	405	495	509	485	463	480	539	0	576	610	644	693	695	731	765	899	881	914	688	675	605	670	660	676	658	870	891	856	722	822	809	812	683	840	930	980	905	1.128	1.260	1.252	1.077	1.200	1.234	1.259	1.315	1.398	1.368	1.461	1.313	1.253	1.336	1.408	1.207	1.321	1.477	1.545	1.853	8.044	7.365	6.258	4.685	4.262	4.206	4.245	4.009	3.989	4.404	4.652	4.637	5.133	5.548	5.942
  Outros AC		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	314	301	408	392	428	1.924	446	562	613	485	440	402	545	576	552	572	688	802	888	938	1.092	1.190	1.062	1.398	1.156	806	874	576	780	948	1.046	922	1.985	2.345	1.892	1.763	1.389	1.429	1.666	1.986	1.613	2.381	1.766	1.834	3.254	3.112	3.745
  Ativo Não Circ.	3.353	3.479	4.124	3.457	3.455	3.529	3.620	3.727	3.801	3.669	3.740	3.784	4.643	4.692	4.733	4.922	5.194	6.252	6.653	7.179	7.614	7.904	8.177	8.343	8.184	8.139	8.170	8.551	8.467	8.344	8.517	8.610	13.216	13.272	13.433	13.489	15.031	15.301	15.853	16.284	16.511	17.185	17.943	18.666	19.066	19.630	20.112	20.677	20.791	20.695	21.383	21.510	21.499	21.658	21.740	21.670	21.666	21.641	21.604	21.369	21.324	21.399	21.448	21.726	22.192	22.765	23.242	23.133	78.987	78.606	80.525	79.023	85.784	86.590	86.916	83.842	85.867	81.508	83.697	84.872	81.188	88.066	92.395
  Imobilizado		2.538	2.563	2.686	2.720	2.759	2.842	2.942	3.060	3.143	3.284	3.413	3.459	3.790	3.837	3.892	4.085	4.344	5.120	5.428	5.943	6.228	6.507	6.718	6.811	6.726	6.738	6.797	6.876	6.831	6.795	7.033	6.961	12.659	12.651	12.671	10.938	12.245	12.410	12.801	13.071	13.237	13.810	14.501	15.147	15.471	15.977	16.271	16.551	16.679	16.635	16.674	16.681	16.548	16.597	16.433	16.346	16.277	16.216	16.180	16.235	16.153	16.172	16.195	16.211	16.415	16.648	17.032	17.020	41.998	41.744	41.500	44.971	44.657	44.442	43.978	43.500	43.147	42.762	42.620	42.963	44.046	48.613	52.117
  Intangível		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	166	161	180	198	191	217	215	212	209	221	217	224	229	222	281	292	299	287	336	329	313	287	203	219	209	208	204	188	375	389	346	339	18.465	18.212	17.968	17.712	17.468	17.225	17.014	16.759	16.572	16.375	16.249	16.034	15.843	15.624	15.397
  Outros ANC		501	508	887	709	662	651	638	643	634	354	299	299	324	328	339	352	377	417	454	486	657	686	770	931	884	850	842	1.165	1.126	1.034	971	1.134	522	586	582	2.381	2.619	2.730	2.871	3.014	3.082	3.157	3.225	3.305	3.386	3.432	3.622	3.901	3.882	3.838	4.426	4.536	4.650	4.773	4.970	4.995	5.075	5.137	5.220	4.914	4.961	5.018	5.048	5.326	5.402	5.727	5.863	5.773	18.523	18.649	21.056	16.340	23.658	24.923	25.923	23.582	26.147	22.370	24.826	25.874	21.297	23.828	24.880
