2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	4T21-3T22
  Receita líquida	2.068	2.477	2.639	2.786	3.098	3.409	4.063	3.952	4.513	4.847	5.192	5.688	7.264	10.224	9.882	10.520	13.437	26.012	30.460	40.965	46.931
  Custos	-1.118	-1.347	-1.448	-1.763	-1.950	-2.224	-2.647	-3.043	-3.148	-3.771	-4.036	-4.190	-5.355	-6.184	-6.571	-6.449	-6.918	-20.743	-18.966	-20.615	-23.721
  Resultado bruto	950	1.130	1.191	1.023	1.148	1.185	1.416	909	1.365	1.076	1.156	1.498	1.909	4.040	3.311	4.071	6.519	5.269	11.494	20.350	23.210
  Margem bruta	46%	46%	45%	37%	37%	35%	35%	23%	30%	22%	22%	26%	26%	40%	34%	39%	49%	20%	38%	50%	49%
  Despesas oper.	-290	-337	-322	-409	-497	-619	-478	-373	-213	-399	-611	-522	-679	-970	-1.993	-813	-1.513	-2.640	-3.050	-2.169	-3.531
  Res. operacional	660	793	869	614	651	566	938	536	1.152	677	545	976	1.230	3.070	1.318	3.258	5.006	2.629	8.444	18.181	19.679
  Margem Oper.	32%	32%	33%	22%	21%	17%	23%	14%	26%	14%	10%	17%	17%	30%	13%	31%	37%	10%	28%	44%	42%
  Res. Financeiro	-771	76	-67	33	-52	249	-1.573	696	-252	-774	-855	-1.255	-1.593	-4.428	1.101	-1.018	-4.842	-6.725	-26.085	-9.347	1.775
  IR e CSSL	191	-258	-197	-147	-153	-276	184	-354	-130	128	128	59	102	433	-726	-431	155	1.282	6.927	-197	-3.204
  Op. descontin.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  Lucro líquido	80	611	605	500	446	539	-451	878	770	31	-182	-220	-261	-925	1.693	1.809	319	-2.814	-10.714	8.637	18.250
  Margem líquida	4%	25%	23%	18%	14%	16%	-11%	22%	17%	1%	-4%	-4%	-4%	-9%	17%	17%	2%	-11%	-35%	21%	39%
