Última atualização: 01/02/2023 18:48:35
		2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Hoje
  LPA		2,13	1,76	1,42	1,72	-1,47	2,86	1,93	0,08	-0,17	-0,20	-0,24	-0,85	1,53	1,64	0,29	-2,07	-7,87	6,34	13,41	13,41
  P/L		6,44	6,69	14,88	16,85	-8,22	7,16	7,64	86,52	-42,04	-45,56	-46,84	-21,99	9,29	11,43	132,01	-19,20	-7,44	9,47	3,60	3,49
  VPA		9,67	10,94	12,82	14,02	12,19	14,30	21,71	24,31	10,09	9,85	9,49	8,45	9,16	10,51	10,87	13,29	5,39	11,15	20,61	20,61
  P/VP		1,42	1,08	1,65	2,07	0,99	1,43	0,68	0,28	0,70	0,94	1,19	2,21	1,55	1,78	3,50	2,99	10,86	5,39	2,34	2,27
  P/EBIT	21,51	26,09	44,33	69,75	17,55	52,06	17,46	13,55	17,53	12,89	12,45	8,29	14,67	7,81	10,35	20,55	9,44	4,50	3,34	3,23
  P/EBITDA	21,51	17,76	27,75	38,78	11,21	27,33	12,00	7,03	7,51	6,74	6,26	5,67	7,10	5,46	7,89	5,06	5,16	3,24	2,43	2,35
  P/Ativos	3,12	2,18	2,84	3,45	1,27	2,19	1,06	0,42	0,38	0,46	0,54	0,90	0,66	0,89	0,96	0,55	0,78	0,69	0,51	0,49
  Ebitda	869	902	1.040	1.018	1.468	1.021	1.677	1.306	1.272	1.865	2.446	4.489	2.721	4.660	6.569	10.681	15.444	25.219	27.028	27.028
  Marg. Ebitda	33%	32%	34%	30%	36%	26%	37%	27%	24%	33%	34%	44%	28%	44%	49%	41%	51%	62%	58%	58%
  PSR		7,08	5,75	9,32	11,58	4,05	7,06	4,46	1,89	1,84	2,21	2,11	2,49	1,96	2,42	3,86	2,08	2,62	2,00	1,40	1,36
  ROE		22%	16%	11%	12%	-12%	20%	9%	0%	-2%	-2%	-3%	-10%	17%	16%	3%	-16%	-146%	57%	65%	65%
  ROA		10%	7%	4%	5%	-3%	7%	4%	0%	-1%	-1%	-1%	-3%	6%	6%	1%	-3%	-11%	7%	14%	14%
  ROIC		15%	9%	7%	5%	7%	4%	8%	4%	3%	4%	5%	12%	5%	13%	18%	3%	9%	19%	19%	19%
  EV/EBIT	73,73	105,74	102,62	118,38	73,56	126,61	56,24	98,72	124,31	72,29	58,08	23,98	54,39	21,75	14,31	43,99	14,83	6,59	6,08	6,19
  EV/EBITDA	73,73	71,98	64,24	65,82	47,00	66,47	38,63	51,18	53,26	37,83	29,21	16,40	26,34	15,20	10,90	10,83	8,11	4,75	4,42	4,51
  Div. Yield	4,19%	7,10%	2,28%	2,54%	0,00%	4,75%	4,67%	4,84%	0,00%	1,24%	1,20%	1,49%	2,15%	1,04%	0,53%	1,18%	0,00%	0,00%	4,93%	5,09%
  Div. Payout	0,00%	20,20%	40,81%	27,27%	-14,19%	3,99%	32,34%	496,77%	-45,60%	-45,00%	-46,74%	-29,08%	17,66%	31,51%	65,83%	-21,54%	0,00%	0,10%	9,91%	9,91%
  Beta		0,34	0,01	0,47	0,59	0,67	0,85	1,17	0,94	0,88	0,67	0,13	-0,16	-0,04	-0,07	-0,12	0,34	0,41	0,26	0,28	0,28
  Valorização	4%	-8%	87%	39%	-57%	68%	-8%	-52%	2%	27%	22%	73%	-21%	35%	104%	4%	44%	2%	-14%	-5%
  Negócios/dia	180	109	163	281	560	1.204	2.089	2.893	6.581	8.991	11.306	14.874	13.258	11.320	16.735	19.386	27.248	27.762	23.278	22.798
  Volume diário	6	3	6	18	12	12	19	13	25	37	44	90	70	61	195	248	361	474	328	288
