Balanço Trimestral
1T2002	2T2002	3T2002	4T2002	1T2003	2T2003	3T2003	4T2003	1T2004	2T2004	3T2004	4T2004	1T2005	2T2005	3T2005	4T2005	1T2006	2T2006	3T2006	4T2006	1T2007	2T2007	3T2007	4T2007	1T2008	2T2008	3T2008	4T2008	1T2009	2T2009	3T2009	4T2009	1T2010	2T2010	3T2010	4T2010	1T2011	2T2011	3T2011	4T2011	1T2012	2T2012	3T2012	4T2012	1T2013	2T2013	3T2013	4T2013	1T2014	2T2014	3T2014	4T2014	1T2015	2T2015	3T2015	4T2015	1T2016	2T2016	3T2016	4T2016	1T2017	2T2017	3T2017	4T2017	1T2018	2T2018	3T2018	4T2018	1T2019	2T2019	3T2019	4T2019	1T2020	2T2020	3T2020	4T2020	1T2021	2T2021	3T2021	4T2021	1T2022	2T2022	3T2022
  Receita líquida	431	521	550	565	593	640	593	651	656	673	741	568	580	693	756	756	656	788	855	799	809	820	815	963	969	1.003	989	1.100	942	1.099	890	1.019	970	1.188	1.158	1.195	1.057	1.224	1.229	1.336	1.037	1.323	1.360	1.470	1.174	1.334	1.520	1.660	1.399	1.708	1.979	2.176	2.147	2.382	2.985	2.709	2.708	2.503	2.172	2.497	2.253	2.529	2.594	3.142	2.998	3.203	4.005	3.229	5.698	6.665	6.599	7.048	6.980	7.995	7.470	8.012	8.889	9.844	10.761	11.469	9.742	11.519	14.198
  Custos	-265	-311	-267	-274	-279	-347	-330	-389	-377	-391	-394	-285	-344	-421	-488	-509	-421	-500	-532	-497	-526	-533	-542	-620	-662	-646	-639	-698	-666	-891	-704	-780	-734	-811	-770	-831	-740	-956	-1.022	-1.052	-852	-1.052	-1.070	-1.061	-889	-983	-1.113	-1.203	-1.009	-1.328	-1.481	-1.535	-1.388	-1.547	-1.655	-1.592	-1.593	-1.680	-1.553	-1.743	-1.566	-1.513	-1.550	-1.818	-1.585	-1.678	-1.963	-1.690	-4.724	-5.222	-4.986	-5.810	-4.819	-4.788	-4.473	-4.883	-4.845	-4.777	-5.299	-5.692	-5.432	-6.122	-6.472
  Resultado bruto	166	210	283	291	314	293	263	262	279	282	347	283	236	272	268	247	235	288	323	302	283	287	273	343	307	357	350	402	276	208	186	239	236	377	388	364	317	268	207	284	185	271	290	409	285	351	407	457	390	380	498	641	759	835	1.330	1.117	1.115	823	619	754	687	1.016	1.044	1.324	1.413	1.525	2.042	1.539	974	1.443	1.613	1.238	2.161	3.207	2.997	3.129	4.044	5.067	5.462	5.777	4.310	5.397	7.726
  Margem bruta	39%	40%	51%	52%	53%	46%	44%	40%	43%	42%	47%	50%	41%	39%	35%	33%	36%	37%	38%	38%	35%	35%	33%	36%	32%	36%	35%	37%	29%	19%	21%	23%	24%	32%	34%	30%	30%	22%	17%	21%	18%	20%	21%	28%	24%	26%	27%	28%	28%	22%	25%	29%	35%	35%	45%	41%	41%	33%	28%	30%	30%	40%	40%	42%	47%	48%	51%	48%	17%	22%	24%	18%	31%	40%	40%	39%	45%	51%	51%	50%	44%	47%	54%
  Despesas oper.	-55	-64	-85	-84	-93	-88	-65	-89	-79	-50	-82	-109	-68	-88	-119	-134	-94	-118	-132	-152	-113	-117	-116	-271	-100	-111	-112	-154	-78	-92	-90	-113	134	-99	-121	-127	-119	-153	-123	-3	-113	-151	-155	-191	-142	-48	-154	-177	-147	-163	-165	-202	-190	-224	-214	-341	-203	-220	-297	-1.271	-218	-208	-234	-152	-279	-354	-308	-570	-789	-559	-616	-675	-812	-690	-829	-718	-437	139	-849	-1.022	-920	-809	-778
  Res. operacional	111	146	198	207	221	205	198	173	200	232	265	174	168	184	149	113	141	170	191	150	170	170	157	72	207	246	238	248	198	116	96	126	370	278	267	237	198	115	84	281	72	120	135	218	143	303	253	280	243	217	333	439	569	611	1.116	776	912	603	322	-517	469	808	810	1.172	1.134	1.171	1.734	969	185	884	997	563	1.349	2.517	2.168	2.411	3.607	5.206	4.613	4.755	3.390	4.588	6.948
  Margem Oper.	26%	28%	36%	37%	37%	32%	33%	27%	30%	34%	36%	31%	29%	27%	20%	15%	21%	22%	22%	19%	21%	21%	19%	7%	21%	25%	24%	23%	21%	11%	11%	12%	38%	23%	23%	20%	19%	9%	7%	21%	7%	9%	10%	15%	12%	23%	17%	17%	17%	13%	17%	20%	27%	26%	37%	29%	34%	24%	15%	-21%	21%	32%	31%	37%	38%	37%	43%	30%	3%	13%	15%	8%	19%	31%	29%	30%	41%	53%	43%	41%	35%	40%	49%
  Res. Financeiro	-64	-285	-561	139	33	169	-75	-50	-34	-139	85	21	-37	164	46	-139	68	-38	-67	-14	32	84	84	48	-24	32	-653	-928	-22	522	183	12	-171	-142	75	-14	-1	17	-715	-75	0	-533	-165	-155	-80	-662	-173	-339	50	-68	-838	-736	-1.736	67	-2.624	-135	723	772	-236	-159	125	-677	269	-735	-157	-3.969	-1.962	1.247	-1.936	79	-6.493	1.624	-22.444	-5.657	-4.222	6.238	-8.667	9.742	-7.765	-2.657	12.935	-6.974	-1.527
  IR e CSSL	-10	85	244	-128	-92	-111	-37	-17	-43	-9	-87	-57	-38	-89	-42	23	-56	-27	-24	-44	-95	-81	-72	-27	-54	-93	122	209	-85	-199	-66	-2	-76	-13	-68	28	-52	-28	206	2	0	149	6	-28	-20	112	-35	2	-91	-51	143	101	405	-222	549	-299	-510	-420	-32	237	-143	68	-278	-77	-163	950	121	-753	522	-262	2.035	-1.013	7.676	1.088	897	-2.735	2.304	-4.912	2.193	216	-6.018	2.569	28
  Op. descontin.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
