Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
02/01/2023;13,65;1,00050788;1.491.916.331.339,62;921;13,65;13,64;13,65;0,021;297,469;
30/12/2022;13,65;1,00050788;967.142.939.352,06;349;13,65;13,65;13,65;0,018;284,262;
29/12/2022;13,65;1,00050788;1.022.151.482.258,82;395;13,65;13,65;13,65;0,018;210,522;
28/12/2022;13,65;1,00050788;1.127.561.421.919,98;855;13,65;13,64;13,65;0,022;332,046;
27/12/2022;13,65;1,00050788;1.112.489.222.865,51;871;13,65;13,64;13,65;0,021;346,582;
26/12/2022;13,65;1,00050788;1.119.650.932.045,23;857;13,65;13,64;13,65;0,021;335,821;
23/12/2022;13,65;1,00050788;1.137.966.214.680,75;848;13,65;13,64;13,65;0,02;394,566;
22/12/2022;13,65;1,00050788;1.148.323.789.632,59;839;13,65;13,64;13,65;0,02;414,226;
21/12/2022;13,65;1,00050788;1.194.199.633.367,08;857;13,65;13,64;13,65;0,019;520,679;
20/12/2022;13,65;1,00050788;1.238.349.121.254,98;759;13,65;13,64;13,65;0,019;503,36;
19/12/2022;13,65;1,00050788;1.235.877.559.118,11;849;13,65;13,64;13,65;0,019;436,73;
16/12/2022;13,65;1,00050788;1.238.960.964.542,66;850;13,65;13,64;13,65;0,02;358,262;
15/12/2022;13,65;1,00050788;1.261.852.037.289,66;844;13,65;13,64;13,65;0,019;431,864;
14/12/2022;13,65;1,00050788;1.256.891.120.001,28;809;13,65;13,64;13,65;0,019;443,869;
13/12/2022;13,65;1,00050788;1.269.028.934.887,26;834;13,65;13,64;13,65;0,019;445,539;
12/12/2022;13,65;1,00050788;1.264.066.079.848,24;792;13,65;13,64;13,65;0,019;441,661;
09/12/2022;13,65;1,00050788;1.276.423.583.390,25;747;13,65;13,64;13,65;0,019;487,423;
08/12/2022;13,65;1,00050788;1.255.944.602.379,47;735;13,65;13,64;13,65;0,019;463,37;
07/12/2022;13,65;1,00050788;1.260.638.324.217,46;744;13,65;13,64;13,65;0,019;418,083;
06/12/2022;13,65;1,00050788;1.279.383.864.262,2;837;13,65;13,64;13,65;0,019;422,835;
05/12/2022;13,65;1,00050788;1.274.999.113.795,09;819;13,65;13,64;13,65;0,02;406,716;
02/12/2022;13,65;1,00050788;1.273.766.448.992,07;807;13,65;13,64;13,65;0,019;467,904;
01/12/2022;13,65;1,00050788;1.275.065.935.468,55;755;13,65;13,64;13,65;0,019;513,466;
30/11/2022;13,65;1,00050788;1.251.999.183.360,39;758;13,65;13,64;13,65;0,019;469,281;
29/11/2022;13,65;1,00050788;1.291.282.772.130,93;846;13,65;13,64;13,65;0,019;496,889;
28/11/2022;13,65;1,00050788;1.297.076.251.541,01;830;13,65;13,64;13,65;0,02;446,954;
25/11/2022;13,65;1,00050788;1.292.226.706.456,74;748;13,65;13,64;13,65;0,02;351,004;
24/11/2022;13,65;1,00050788;1.292.723.788.732,86;827;13,65;13,64;13,65;0,02;349,985;
23/11/2022;13,65;1,00050788;1.297.657.872.814,98;830;13,65;13,64;13,65;0,019;391,412;
22/11/2022;13,65;1,00050788;1.306.528.921.553,33;730;13,65;13,64;13,65;0,019;455,925;
21/11/2022;13,65;1,00050788;1.320.279.249.465,84;778;13,65;13,64;13,65;0,019;414,641;
18/11/2022;13,65;1,00050788;1.370.563.865.615,01;744;13,65;13,64;13,65;0,018;560,752;
17/11/2022;13,65;1,00050788;1.374.297.214.640,19;732;13,65;13,64;13,65;0,018;484,712;
16/11/2022;13,65;1,00050788;1.366.220.310.964,68;736;13,65;13,64;13,65;0,018;424,839;
14/11/2022;13,65;1,00050788;1.335.679.884.336,72;749;13,65;13,64;13,65;0,019;427,412;
11/11/2022;13,65;1,00050788;1.361.018.267.918,43;750;13,65;13,64;13,65;0,018;463,465;
10/11/2022;13,65;1,00050788;1.393.306.414.554,37;705;13,65;13,64;13,65;0,017;492,61;
09/11/2022;13,65;1,00050788;1.389.017.782.369,13;692;13,65;13,64;13,65;0,018;407,258;
08/11/2022;13,65;1,00050788;1.391.779.834.888,07;740;13,65;13,64;13,65;0,018;415,243;
07/11/2022;13,65;1,00050788;1.354.368.324.857,11;708;13,65;13,64;13,65;0,02;7.875,595;
04/11/2022;13,65;1,00050788;1.368.179.493.932,78;702;13,65;13,64;13,65;0,019;435,456;
03/11/2022;13,65;1,00050788;1.381.941.240.522,06;700;13,65;13,64;13,65;0,019;419,603;
01/11/2022;13,65;1,00050788;1.385.232.762.411,1;694;13,65;13,64;13,65;0,018;466,476;
31/10/2022;13,65;1,00050788;1.395.234.650.792,63;709;13,65;13,64;13,65;0,019;429,678;
28/10/2022;13,65;1,00050788;1.425.013.380.767,87;701;13,65;13,64;13,65;0,018;457,573;
27/10/2022;13,65;1,00050788;1.447.845.897.226,15;684;13,65;13,64;13,65;0,019;436,302;
26/10/2022;13,65;1,00050788;1.433.083.827.062,18;700;13,65;13,64;13,65;0,019;418,479;
25/10/2022;13,65;1,00050788;1.459.623.891.918,91;731;13,65;13,64;13,65;0,018;541,196;
24/10/2022;13,65;1,00050788;1.440.349.144.211,37;731;13,65;13,64;13,65;0,018;472,827;
21/10/2022;13,65;1,00050788;1.444.908.437.951,57;736;13,65;13,64;13,65;0,017;494,312;
20/10/2022;13,65;1,00050788;1.516.616.902.416,14;752;13,65;13,64;13,65;0,017;532,6;
19/10/2022;13,65;1,00050788;1.530.092.088.680,66;746;13,65;13,64;13,65;0,018;432,205;
18/10/2022;13,65;1,00050788;1.539.251.851.214,14;753;13,65;13,64;13,65;0,017;510,039;
17/10/2022;13,65;1,00050788;1.530.336.785.161,57;739;13,65;13,64;13,65;0,017;449,827;
14/10/2022;13,65;1,00050788;1.527.544.623.288,14;715;13,65;13,64;13,65;0,017;455,944;
13/10/2022;13,65;1,00050788;1.543.224.473.897,54;780;13,65;13,64;13,65;0,018;462,272;
11/10/2022;13,65;1,00050788;1.574.885.523.674,19;751;13,65;13,64;13,65;0,016;531,406;
10/10/2022;13,65;1,00050788;1.568.677.624.596,86;734;13,65;13,64;13,65;0,017;499,113;
07/10/2022;13,65;1,00050788;1.518.764.812.596,11;725;13,65;13,64;13,65;0,018;473,712;
06/10/2022;13,65;1,00050788;1.537.578.673.120,48;748;13,65;13,64;13,65;0,018;510,944;
05/10/2022;13,65;1,00050788;1.525.316.238.981,9;743;13,65;13,64;13,65;0,018;507,296;
04/10/2022;13,65;1,00050788;1.553.535.978.688,38;763;13,65;13,64;13,65;0,018;455,549;
03/10/2022;13,65;1,00050788;1.563.388.457.217,5;761;13,65;13,64;13,65;0,019;468,155;
30/09/2022;13,65;1,00050788;1.375.396.604.660,92;726;13,65;13,64;13,65;0,02;382,672;
29/09/2022;13,65;1,00050788;1.433.586.248.117,49;778;13,65;13,64;13,65;0,025;190,373;
28/09/2022;13,65;1,00050788;1.430.207.422.839,01;716;13,65;13,64;13,65;0,019;383,98;
27/09/2022;13,65;1,00050788;1.442.581.594.282,5;752;13,65;13,64;13,65;0,019;870,159;
26/09/2022;13,65;1,00050788;1.432.488.983.974,04;750;13,65;13,64;13,65;0,019;463,362;
23/09/2022;13,65;1,00050788;1.429.299.540.532,87;781;13,65;13,64;13,65;0,019;558,695;
22/09/2022;13,65;1,00050788;1.442.594.814.343,55;758;13,65;13,64;13,65;0,019;468,149;
21/09/2022;13,65;1,00050788;1.436.284.551.062,47;778;13,65;13,64;13,65;0,018;533,939;
20/09/2022;13,65;1,00050788;1.484.166.678.883,79;730;13,65;13,64;13,65;0,018;455,4;
19/09/2022;13,65;1,00050788;1.510.619.728.045,04;754;13,65;13,64;13,65;0,018;425,226;
16/09/2022;13,65;1,00050788;1.493.927.504.973,4;724;13,65;13,64;13,65;0,017;531,267;
